matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,timePlay,winloss,top1,jug1,mid1,adc1,sp1,top2,jug2,mid2,adc2,sp2
NA1_4244651646,0,1,1,0,-1556,729,1852,-3218,-1189,2389,200,Yorick,Khazix,Tryndamere,Caitlyn,Zyra,TahmKench,Amumu,Xerath,Jinx,Lux
NA1_4244518053,2,0,1,0,302,977,-1053,784,2080,1666,100,Jayce,Ekko,Olaf,Ashe,Senna,Sion,XinZhao,Akali,Kaisa,Braum
NA1_4241891012,2,0,0,0,-1905,-597,-2424,3393,221,1775,100,Singed,Ekko,Vex,Jinx,Rakan,Volibear,Rammus,Katarina,Jhin,Nautilus
NA1_4245858190,0,2,1,0,-1412,-2,-1459,-2792,-2372,932,200,Darius,Karthus,Yasuo,Jhin,Thresh,Nasus,Volibear,Akali,Tristana,Ezreal
NA1_4242236791,2,0,1,0,-291,-778,1401,1178,1046,2076,100,Jax,Volibear,Xerath,Zeri,Senna,Aatrox,LeeSin,Annie,Jinx,Vex
NA1_4241199634,0,2,1,0,-162,-787,-863,-1669,-1268,2750,100,Gnar,Shaco,Neeko,Ezreal,Braum,Ryze,Elise,Corki,Draven,Karma
NA1_4248214476,0,2,0,1,-1362,-2924,-890,862,133,1293,200,Ornn,Gwen,Ryze,Aphelios,Renata,Akali,Viego,Irelia,Seraphine,Heimerdinger
NA1_4244099256,1,0,0,0,-750,-1170,1323,70,836,1882,100,Fiora,Kayn,Akali,KogMaw,Brand,Gwen,XinZhao,Irelia,Jhin,Senna
NA1_4250909253,1,1,1,0,161,364,-882,1265,1275,2013,200,Garen,Nocturne,Sylas,Kaisa,Lux,Urgot,Rammus,Fizz,Xayah,Rakan
NA1_4240226112,0,2,0,1,-3087,-2074,-356,-2879,-3844,1326,200,Kayle,Ekko,Veigar,Zeri,Renata,Tryndamere,Khazix,Sejuani,Xayah,Xerath
NA1_4256120324,0,0,0,0,0,0,0,0,0,198,200,Hecarim,Malzahar,Ezreal,Swain,Shen,Diana,Zoe,Jinx,Janna,
NA1_4242398717,1,0,0,1,-1603,-1359,510,-752,-1697,2197,100,Graves,Hecarim,Kayle,Sivir,Lux,Sion,Kindred,Malzahar,Ezreal,Brand
NA1_4237143277,1,0,1,0,-1046,3211,-1920,2250,137,2036,100,Urgot,Warwick,Zoe,Varus,Zyra,Garen,Nunu,Diana,Jhin,Morgana
