matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4242300785,0,2,1,0,2789,392,-5,-1651,117,0,0,1,0,0,0,2174,200,Jax,Nocturne,Ekko,Samira,Thresh,Fiora,MasterYi,Leblanc,Tristana,Lulu
NA1_4240386360,1,1,1,0,-979,291,-968,2557,1317,0,0,0,0,0,1,1791,200,Shen,Rengar,Ekko,Jinx,Galio,Garen,Kaisa,Yasuo,Jhin,Karma
NA1_4254981040,0,2,0,1,-1085,-18,-28,470,-1931,0,0,0,0,0,0,1712,200,Shen,Kindred,Veigar,Samira,Zac,Malzahar,Darius,Trundle,Senna,Seraphine
NA1_4254710688,0,1,0,1,-216,-1586,604,108,-13,0,1,0,0,0,0,1883,200,Akshan,Zac,Jayce,Kaisa,Lulu,Darius,Volibear,Ahri,Varus,Ashe
NA1_4247154285,2,0,1,0,5253,1591,296,2141,-25,0,0,0,3,1,1,1343,100,Tryndamere,MasterYi,Anivia,Zeri,Lulu,Quinn,Sejuani,Diana,Vayne,Lux
NA1_4250426623,2,0,1,0,1155,1233,1216,3492,2203,0,0,0,1,0,1,1776,100,Teemo,Hecarim,Leblanc,Vayne,Blitzcrank,Garen,Viego,Lux,Jinx,Leona
NA1_4248602730,2,0,1,0,1604,2025,-1667,-1655,-806,0,0,0,1,0,0,1625,100,Darius,MasterYi,Karma,MissFortune,Nautilus,Chogath,Zed,Varus,Twitch,Pyke
NA1_4249501751,0,1,1,0,1433,-27,495,-1832,-504,0,0,0,0,0,0,1782,200,Cassiopeia,Khazix,Ziggs,Jinx,Lulu,Anivia,Kayn,Sylas,Vayne,Nautilus
NA1_4248215902,1,0,0,1,-1975,230,555,1451,372,0,0,0,0,0,0,1720,100,Malphite,Graves,Vex,Jinx,Morgana,Sett,Shaco,Sylas,Annie,Bard
NA1_4244057130,1,1,1,0,-2,1480,1872,894,80,0,0,0,0,1,0,1797,100,Teemo,Udyr,Sylas,MissFortune,Zilean,Aatrox,Lillia,Irelia,Jinx,Lux
NA1_4245690014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,746,100,Kennen,Shaco,Viktor,Karthus,Pyke,Yorick,Viego,Ahri,Ashe,MissFortune
NA1_4245135996,1,0,1,0,-2238,498,314,-1854,-516,1,0,0,0,0,0,1348,200,Galio,FiddleSticks,Veigar,Twitch,Ashe,Nasus,Shaco,Lux,Kaisa,Pantheon
NA1_4250418111,2,0,1,0,-325,1496,1787,372,724,0,0,0,0,1,0,1596,100,Ashe,Volibear,Lissandra,MissFortune,Lux,Mordekaiser,Kayn,Kassadin,Ezreal,Morgana
NA1_4252117931,1,0,0,0,-598,156,2201,-2936,-664,0,0,0,0,0,0,1738,200,Chogath,Sejuani,Akali,Vayne,Thresh,Fiora,Volibear,Azir,Lucian,Karma
NA1_4239229458,1,1,0,1,-604,-456,704,1653,1781,0,0,0,0,0,1,2414,200,Singed,Zac,Nautilus,Ezreal,Brand,Mordekaiser,Sejuani,Ziggs,Caitlyn,Janna
NA1_4256933809,2,0,0,1,-1814,394,1500,-2558,-1159,1,0,1,0,0,0,1774,100,Mordekaiser,Graves,Zed,Veigar,Thresh,Yorick,Nocturne,Ekko,Zeri,Morgana
NA1_4255610361,2,0,1,0,2214,907,1690,848,658,0,0,0,0,1,1,1113,100,Yone,MasterYi,Shaco,Jhin,Blitzcrank,Sion,Graves,Kaisa,Samira,Nami
NA1_4245571441,0,2,0,1,2317,-1237,1765,-1068,-1627,0,0,1,1,0,0,2205,200,Nasus,Hecarim,Yasuo,Ashe,Lulu,Malphite,MasterYi,Ahri,Vayne,Soraka
NA1_4252974704,2,0,0,1,1369,48,3389,213,1575,0,0,0,0,1,1,1690,100,Mordekaiser,Darius,Akshan,Brand,Senna,Vayne,LeeSin,Fizz,Ashe,Renata
NA1_4259052155,2,0,0,1,987,952,-906,3115,-469,1,0,0,0,0,1,1218,100,Yasuo,Vi,Karthus,Vayne,Leona,Yorick,Nunu,Singed,Zeri,Morgana
NA1_4259063898,2,0,0,1,-1974,280,122,462,226,0,1,0,0,0,1,1526,100,Camille,Hecarim,Vex,Jinx,Braum,Tryndamere,FiddleSticks,Vladimir,Samira,Nautilus
NA1_4256756676,0,2,0,1,-2123,934,-548,-1037,152,1,0,0,0,0,0,1666,100,Jax,Warwick,Pyke,Ziggs,Lux,Sett,Trundle,Yasuo,Jinx,Alistar
