t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff
1,0,0,0,-375,-1240,1189,-2162,-650
1,0,1,0,3672,267,677,1143,875
1,0,1,0,-1699,-453,-285,1993,1654
1,0,0,1,-3083,278,1726,1372,748
0,1,1,0,1975,212,3799,2971,282
1,0,0,1,-531,280,-3590,-1317,-1045
0,1,1,0,-2856,-663,2134,89,2141
2,0,1,0,1473,2344,-454,296,2116
1,0,1,0,1396,-1088,1208,1683,13
0,2,1,0,313,-1370,-863,-479,1069
0,2,1,0,-253,-542,-1830,-393,-623
1,0,1,0,3515,-220,571,-94,-77
0,2,0,1,-4721,-1310,-5737,119,-2345
0,2,0,1,-1593,-2193,214,1508,225
0,1,1,0,-79,-251,425,-1831,542
0,2,1,0,290,1929,345,683,80
1,1,0,1,-3951,914,-148,452,-59
0,2,0,0,-1019,-1842,-180,-3398,-393
0,1,1,0,50,-1629,-1076,499,619
1,0,0,1,1817,-573,792,-100,98
1,0,0,0,-2032,415,-539,3568,934
0,2,1,0,-1922,1732,796,-1341,-12
0,1,0,1,-3049,-2312,-578,144,-2025
0,2,1,0,1816,-1846,-2142,-2678,661
0,1,0,1,-373,-2122,-149,274,636
1,0,0,1,-4471,1761,897,-165,857
1,0,0,0,665,1567,623,-1561,-954
1,0,1,0,77,1098,-928,1205,1603
1,0,0,1,-792,-1041,-1039,-2179,227
1,1,0,1,-183,-261,-565,1688,90
0,2,0,1,1006,-929,47,399,-773
0,2,0,1,-3635,-2410,2031,-851,605
0,1,0,0,-37,-263,-126,-926,-823
1,0,0,1,-2802,-1615,206,1737,-137
0,1,0,0,-785,220,-1031,-4325,-591
0,2,0,0,-1930,-1970,-1428,348,-285
1,0,0,0,-315,245,885,1867,764
0,1,0,0,-1483,708,-2727,149,-547
0,2,0,1,1891,-1957,-1854,62,664
1,1,0,1,2735,560,-3518,278,-403
1,0,0,1,1940,-1329,210,1948,467
0,2,1,0,3630,-758,-961,-371,1799
0,1,0,0,707,-510,145,-3149,537
0,1,1,0,-820,-1063,363,-552,-387
0,2,1,0,-1349,-348,689,-302,501
1,1,0,1,-7594,-2381,-1174,-1934,-2267
1,1,0,1,-2921,1846,-541,2751,74
2,0,0,1,-1433,589,800,858,374
0,0,0,0,-2451,208,-1439,1313,572
0,2,1,0,1662,-982,-448,-1452,99
0,1,0,0,-630,-625,-525,-1757,72
0,1,1,0,-831,-1127,-84,2362,1866
0,1,1,0,2738,1646,12,268,983
1,0,0,0,1018,1533,2349,-2308,1967
0,1,0,0,-222,1430,-2374,-1193,700
1,0,0,0,383,728,3357,69,645
1,1,0,0,1364,313,-1138,-1407,-1096
0,2,1,0,-828,1426,1486,262,77
0,1,0,0,0,0,0,0,0
1,0,0,1,-1140,-2053,-728,-760,-725
0,1,0,1,-308,-1858,20,-986,-750
1,1,1,0,3961,2892,-925,-615,-742
1,1,0,1,-1748,101,2738,2173,-1345
1,0,0,0,496,-563,-1229,834,-30
2,0,1,0,371,-2302,-676,480,-135
0,1,1,0,-67,-203,-1002,-251,6
0,1,1,0,1975,744,-1511,-525,509
0,1,0,1,-4329,-1579,-3322,845,224
1,0,0,1,-2319,-1637,28,241,1
0,1,1,0,28,-3078,-1775,-1766,-316
0,2,0,1,30,1421,286,-2884,-2295
2,0,1,0,3862,239,-783,807,-792
1,0,1,0,554,-884,-1958,1913,1431
1,1,1,0,1317,1132,501,-1041,-1791
1,0,0,1,-296,223,-91,246,-645
0,2,0,1,-530,-950,-1319,-707,-1642
0,1,0,0,-732,510,-260,2162,1747
1,0,1,0,-911,2359,1634,3766,147
1,1,1,0,2119,63,501,-1517,-185
1,1,0,0,198,318,1368,525,33
0,1,1,0,-26,279,2976,-2084,-936
0,2,1,0,912,466,-846,-2061,-645
1,0,1,0,1398,453,402,470,645
1,0,0,1,-333,1828,-905,604,-1142
0,2,0,0,1350,-1682,145,-2706,-104
1,1,0,1,-1016,168,-191,-32,-738
2,0,0,0,-463,997,-547,3730,-206
1,1,1,0,-17,1816,156,939,759
1,0,1,0,4421,3,2418,-117,-148
1,1,0,1,1109,1341,-2144,-1114,-1382
1,0,0,1,687,-939,-1189,696,915
1,0,1,0,-1734,1120,312,-2521,-838
1,1,0,0,451,1974,-165,2213,362
0,1,1,0,-1229,178,592,704,327
1,1,1,0,455,576,-714,-1687,-804
2,0,1,0,4632,2663,2042,626,1200
1,0,0,1,-1344,-783,-1573,-1751,-524
1,1,0,1,1300,-1018,1125,-435,-120
0,1,1,0,2387,-208,75,-265,-460
2,0,1,0,-27,688,1880,675,817
0,1,0,0,305,-1747,984,-1081,-266
0,2,0,1,-411,-1022,-2568,-2264,-2090
0,1,0,0,-387,-475,-608,-2650,-971
0,2,1,0,-1098,-413,492,-225,69
0,2,0,1,-301,-990,-1619,-894,-479
1,1,1,0,-3280,-1316,-642,291,-1181
2,0,0,1,224,137,171,2263,-212
2,0,1,0,451,2248,2891,2821,1980
2,0,0,1,-1537,26,1849,-195,-780
0,1,0,0,-1825,-755,723,1080,1416
0,1,0,0,1512,378,2784,222,301
0,2,0,1,1329,-191,-475,58,-355
1,1,0,1,-1566,-1016,-609,-352,336
1,1,1,0,2094,1427,-709,57,410
2,0,0,0,760,-2702,-113,-1566,1112
1,0,1,0,191,-2445,68,1480,-718
1,0,0,1,-2054,-556,-2291,1267,-330
1,0,0,1,-1156,24,1384,-580,1384
1,0,0,1,4214,381,461,589,826
1,1,0,1,1621,-515,-26,-658,-345
1,1,0,1,759,-4,767,619,515
0,2,1,0,-154,-1232,-2401,-907,-723
0,1,0,1,-2743,-1503,-234,-521,-663
2,0,1,0,624,704,-67,3533,2496
1,1,1,0,2390,363,-547,-745,-2093
1,0,0,1,-1263,47,89,-272,-181
1,0,0,0,-559,884,-145,2001,744
2,0,0,0,456,181,-707,-920,54
0,1,1,0,-683,-271,1209,-1640,88
0,1,1,0,-2790,1471,1007,95,-440
1,0,0,0,-1309,197,1395,864,508
0,2,0,1,-741,-1250,-1400,-4734,75
2,0,1,0,1326,3816,263,2943,322
1,1,1,0,-413,-1524,1502,1514,1188
0,0,0,1,466,-1317,1248,-3080,-1415
0,1,0,1,1804,-1468,-1207,-763,-232
1,0,1,0,208,930,912,-1526,-1264
0,2,0,0,190,-424,-824,394,-1062
1,1,0,0,-3198,1148,-141,-85,790
0,2,0,1,581,-1623,-1333,1097,391
2,0,0,0,-385,333,1110,2807,185
1,1,0,1,-598,-209,-183,638,-377
0,2,1,0,1007,-97,-1009,-661,-106
1,1,1,0,-3009,-824,-426,-961,-793
1,1,0,0,-613,-738,1508,378,-92
1,0,1,0,502,-869,1913,1101,-367
1,0,0,0,-1342,-1322,168,1604,36
1,1,0,1,970,-509,-1406,3291,1299
1,0,1,0,693,375,883,-607,-369
0,2,0,1,-911,-1333,388,-2015,-482
0,2,0,1,-3153,67,-581,-297,-349
0,1,0,1,-2134,-131,-3916,-2632,-165
1,1,0,0,577,816,-731,1509,425
0,1,1,0,4213,1700,2217,732,1135
1,1,0,1,1444,1149,494,-66,80
0,1,1,0,-544,1390,1250,1423,1443
1,1,0,1,-3243,-1495,-729,1310,621
0,2,0,1,-2824,-2112,1109,-2671,-558
1,0,0,1,-774,930,-626,-470,14
0,2,0,1,-1000,-1606,-1087,-1965,-1539
0,1,1,0,-1877,343,-2767,2531,1476
0,1,1,0,782,154,25,615,-51
0,1,0,1,-596,-1534,-629,-911,-45
1,0,0,1,-1566,768,-340,-654,-50
2,0,1,0,2542,1055,3018,4148,1140
0,2,1,0,1807,-2421,-578,-1519,145
1,1,0,1,804,1092,-809,210,-821
1,1,1,0,-984,150,1419,-802,-975
0,1,1,0,583,1231,-854,-1142,-1246
0,1,0,0,-195,-459,-493,58,-1332
0,1,0,0,-494,-233,476,839,667
1,1,1,0,1751,773,447,2031,481
0,1,1,0,-782,2344,623,1664,-330
2,0,1,0,2331,1430,2495,102,-40
1,0,1,0,1816,-327,-1118,-12,-284
1,1,0,1,-2884,941,-364,-457,-574
0,1,0,1,2728,-2450,1011,697,-812
2,0,1,0,1897,1537,312,813,1020
0,1,0,0,793,-1538,-2163,-780,431
0,1,0,1,-3363,-632,-1167,-1301,-1395
2,0,1,0,314,2184,1102,2235,1841
